index,concept,model,coeff,judge
41,sycophancy,mistralai/Mistral-7B-Instruct-v0.3,2.0,0.0
42,sycophancy,Qwen/Qwen2.5-7B-Instruct,0.0,0.0
43,sycophancy,mistralai/Mistral-7B-Instruct-v0.3,-2.0,0.0
44,sycophancy,meta-llama/Llama-3.1-8B-Instruct,2.0,1.0
45,sycophancy,google/gemma-2-9b-it,-1.0,0.0
46,sycophancy,Qwen/Qwen2.5-7B-Instruct,1.0,1.0
47,sycophancy,mistralai/Mistral-7B-Instruct-v0.3,2.0,0.0
48,sycophancy,Qwen/Qwen2.5-7B-Instruct,1.0,1.0
49,sycophancy,mistralai/Mistral-7B-Instruct-v0.3,-1.0,0.0
50,formality,Qwen/Qwen2.5-7B-Instruct,0.5,1.0
51,formality,Qwen/Qwen2.5-7B-Instruct,0.0,1.0
52,formality,meta-llama/Llama-3.1-8B-Instruct,-0.5,1.0
53,formality,Qwen/Qwen2.5-7B-Instruct,2.0,1.0
54,formality,meta-llama/Llama-3.1-8B-Instruct,-3.0,0.0
55,formality,google/gemma-2-9b-it,-0.5,0.0
56,formality,google/gemma-2-9b-it,-1.0,0.0
57,formality,meta-llama/Llama-3.1-8B-Instruct,-1.0,1.0
58,formality,google/gemma-2-9b-it,5.0,0.0
59,formality,meta-llama/Llama-3.1-8B-Instruct,3.0,1.0
60,formality,Qwen/Qwen2.5-7B-Instruct,1.0,1.0
61,formality,Qwen/Qwen2.5-7B-Instruct,-1.0,0.0
62,formality,Qwen/Qwen2.5-7B-Instruct,2.0,1.0
63,formality,Qwen/Qwen2.5-7B-Instruct,-1.0,0.0
64,formality,google/gemma-2-9b-it,-5.0,0.0
65,formality,google/gemma-2-9b-it,4.0,0.0
66,formality,google/gemma-2-9b-it,-2.0,0.0
67,formality,meta-llama/Llama-3.1-8B-Instruct,1.0,1.0
68,formality,meta-llama/Llama-3.1-8B-Instruct,0.0,0.0
69,formality,mistralai/Mistral-7B-Instruct-v0.3,-5.0,0.0
70,formality,meta-llama/Llama-3.1-8B-Instruct,0.0,1.0
71,formality,mistralai/Mistral-7B-Instruct-v0.3,4.0,0.0
72,formality,meta-llama/Llama-3.1-8B-Instruct,-2.0,0.0
73,formality,mistralai/Mistral-7B-Instruct-v0.3,2.0,0.0
74,formality,mistralai/Mistral-7B-Instruct-v0.3,-5.0,0.0
75,rudeness,meta-llama/Llama-3.1-8B-Instruct,1.0,0.0
76,rudeness,Qwen/Qwen2.5-7B-Instruct,-2.0,0.0
77,rudeness,mistralai/Mistral-7B-Instruct-v0.3,4.0,0.0
78,rudeness,meta-llama/Llama-3.1-8B-Instruct,-1.0,0.0
79,rudeness,mistralai/Mistral-7B-Instruct-v0.3,-4.0,0.0
80,rudeness,Qwen/Qwen2.5-7B-Instruct,1.0,0.0
81,rudeness,google/gemma-2-9b-it,4.0,0.0
82,rudeness,meta-llama/Llama-3.1-8B-Instruct,-0.5,0.0
83,rudeness,Qwen/Qwen2.5-7B-Instruct,0.5,0.0
84,rudeness,meta-llama/Llama-3.1-8B-Instruct,-2.0,0.0
85,rudeness,google/gemma-2-9b-it,3.0,0.0
86,rudeness,Qwen/Qwen2.5-7B-Instruct,2.0,0.0
87,rudeness,mistralai/Mistral-7B-Instruct-v0.3,-3.0,0.0
88,rudeness,google/gemma-2-9b-it,-3.0,0.0
89,rudeness,meta-llama/Llama-3.1-8B-Instruct,0.5,0.0
90,rudeness,mistralai/Mistral-7B-Instruct-v0.3,-0.5,0.0
91,rudeness,mistralai/Mistral-7B-Instruct-v0.3,-4.0,0.0
92,rudeness,google/gemma-2-9b-it,-5.0,0.0
93,rudeness,google/gemma-2-9b-it,0.5,0.0
94,rudeness,mistralai/Mistral-7B-Instruct-v0.3,3.0,1.0
95,rudeness,mistralai/Mistral-7B-Instruct-v0.3,1.0,0.0
96,rudeness,Qwen/Qwen2.5-7B-Instruct,-1.0,0.0
97,rudeness,google/gemma-2-9b-it,-0.5,0.0
98,rudeness,mistralai/Mistral-7B-Instruct-v0.3,-0.5,0.0
99,rudeness,Qwen/Qwen2.5-7B-Instruct,-0.5,0.0
